url,is_geotiff,is_cog
https:/nrs.objectstore.gov.bc.ca/gdwuts/082/082e/2018/orthophoto/bc_082e003_2_2_2_xc100mm_utm11_2018.tif,True,False
https:/nrs.objectstore.gov.bc.ca/gdwuts/082/082e/2018/orthophoto/bc_082e003_2_2_3_xc100mm_utm11_2018.tif,True,False
https:/nrs.objectstore.gov.bc.ca/gdwuts/082/082e/2018/orthophoto/bc_082e003_2_2_4_xc100mm_utm11_2018.tif,True,False
https:/nrs.objectstore.gov.bc.ca/gdwuts/082/082e/2018/orthophoto/bc_082e003_2_2_2_xc100mm_utm11_2018.tif,True,False
https:/nrs.objectstore.gov.bc.ca/gdwuts/082/082e/2018/orthophoto/bc_082e003_2_2_3_xc100mm_utm11_2018.tif,True,False
https:/nrs.objectstore.gov.bc.ca/gdwuts/082/082e/2018/orthophoto/bc_082e003_2_2_4_xc100mm_utm11_2018.tif,True,False
https:/nrs.objectstore.gov.bc.ca/gdwuts/082/082e/2018/orthophoto/bc_082e003_2_2_2_xc100mm_utm11_2018.tif,True,False
https:/nrs.objectstore.gov.bc.ca/gdwuts/082/082e/2018/orthophoto/bc_082e003_2_2_3_xc100mm_utm11_2018.tif,True,False
https:/nrs.objectstore.gov.bc.ca/gdwuts/082/082e/2018/orthophoto/bc_082e003_2_2_4_xc100mm_utm11_2018.tif,True,False
https:/nrs.objectstore.gov.bc.ca/gdwuts/082/082e/2018/orthophoto/bc_082e003_2_2_2_xc100mm_utm11_2018.tif,True,False
https:/nrs.objectstore.gov.bc.ca/gdwuts/082/082e/2018/orthophoto/bc_082e003_2_2_3_xc100mm_utm11_2018.tif,True,False
https:/nrs.objectstore.gov.bc.ca/gdwuts/082/082e/2018/orthophoto/bc_082e003_2_2_4_xc100mm_utm11_2018.tif,True,False
https:/nrs.objectstore.gov.bc.ca/gdwuts/082/082e/2018/orthophoto/bc_082e003_2_2_2_xc100mm_utm11_2018.tif,True,False
https:/nrs.objectstore.gov.bc.ca/gdwuts/082/082e/2018/orthophoto/bc_082e003_2_2_3_xc100mm_utm11_2018.tif,True,False
https:/nrs.objectstore.gov.bc.ca/gdwuts/082/082e/2018/orthophoto/bc_082e003_2_2_4_xc100mm_utm11_2018.tif,True,False
https:/nrs.objectstore.gov.bc.ca/gdwuts/082/082e/2018/orthophoto/bc_082e003_2_2_2_xc100mm_utm11_2018.tif,True,False
https:/nrs.objectstore.gov.bc.ca/gdwuts/082/082e/2018/orthophoto/bc_082e003_2_2_3_xc100mm_utm11_2018.tif,True,False
https:/nrs.objectstore.gov.bc.ca/gdwuts/082/082e/2018/orthophoto/bc_082e003_2_2_4_xc100mm_utm11_2018.tif,True,False
https:/nrs.objectstore.gov.bc.ca/gdwuts/082/082e/2018/orthophoto/bc_082e003_2_2_2_xc100mm_utm11_2018.tif,True,False
https:/nrs.objectstore.gov.bc.ca/gdwuts/082/082e/2018/orthophoto/bc_082e003_2_2_3_xc100mm_utm11_2018.tif,True,False
https:/nrs.objectstore.gov.bc.ca/gdwuts/082/082e/2018/orthophoto/bc_082e003_2_2_4_xc100mm_utm11_2018.tif,True,False
https:/nrs.objectstore.gov.bc.ca/gdwuts/082/082e/2018/orthophoto/bc_082e003_2_3_4_xc100mm_utm11_2018.tif,True,False
https:/nrs.objectstore.gov.bc.ca/gdwuts/082/082e/2018/orthophoto/bc_082e003_2_4_1_xc100mm_utm11_2018.tif,True,False
https:/nrs.objectstore.gov.bc.ca/gdwuts/082/082e/2018/orthophoto/bc_082e003_2_4_2_xc100mm_utm11_2018.tif,True,False
https:/nrs.objectstore.gov.bc.ca/gdwuts/082/082e/2018/orthophoto/bc_082e003_2_4_3_xc100mm_utm11_2018.tif,True,False
https:/nrs.objectstore.gov.bc.ca/gdwuts/082/082e/2018/orthophoto/bc_082e003_2_4_4_xc100mm_utm11_2018.tif,True,False
https:/nrs.objectstore.gov.bc.ca/gdwuts/082/082e/2018/orthophoto/bc_082e003_3_4_2_xc100mm_utm11_2018.tif,True,False
https:/nrs.objectstore.gov.bc.ca/gdwuts/082/082e/2018/orthophoto/bc_082e003_3_4_4_xc100mm_utm11_2018.tif,True,False
